lat,lng,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size,Counted_Census_Night_home_P,Lang_spoken_home_Eng_only_P,Australian_citizen_P,Marital_Prop,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,score,Crime_Rate,Y,day,time,y1,total_positive,total_negative,timing_positive,timing_negative,y,frequency,split
-33.919163,151.191772,32,2499,953,565,2524,1.2,1926,2,0.95530632,0.5148771,0.55925403,0.56521405,0,0,0,0,0,0,0,0,0,0,0,430,0.75,3,4,21.282444100000003,1095,183,2.29041096,2.04918033,0.97359579,2,-0.7574904603501798
-33.86602,151.210342,32,2499,953,565,2524,1.2,1926,2,0.95530632,0.5148771,0.55925403,0.56521405,0,0,0,0,0,0,0,0,0,1,1,430,0.75,3,4,21.282444100000003,1095,183,2.29041096,2.04918033,0.97359579,2,-0.6159279251136548
-33.8671,151.207001,32,2499,953,565,2524,1.2,1926,2,0.95530632,0.5148771,0.55925403,0.56521405,0,0,0,0,0,0,0,0,0,0,0,430,0.75,3,4,21.282444100000003,1095,183,2.29041096,2.04918033,0.97359579,2,1.0836733209520983
-33.874512,151.207001,32,2499,953,565,2524,1.2,1926,2,0.95530632,0.5148771,0.55925403,0.56521405,0,0,0,0,0,0,0,0,0,1,1,430,0.75,3,4,21.282444100000003,1095,183,2.29041096,2.04918033,0.97359579,2,0.41710441677354054
-33.86882,151.20928999999998,32,2499,953,565,2524,1.2,1926,2,0.95530632,0.5148771,0.55925403,0.56521405,0,0,0,0,0,0,0,0,0,1,1,430,0.75,4,1,14.89742,1095,183,2.29041096,2.04918033,0.68150375,2,0.08183600199517768
-33.868961,151.207062,32,2499,953,565,2524,1.2,1926,2,0.95530632,0.5148771,0.55925403,0.56521405,0,0,0,0,0,0,0,0,0,0,0,430,0.75,4,1,14.89742,1095,183,2.29041096,2.04918033,0.68150375,2,0.8092060265371115
-33.864174,151.206802,32,2499,953,565,2524,1.2,1926,2,0.95530632,0.5148771,0.55925403,0.56521405,1,1,0,1,1,0,0,1,0,1,1,430,0.75,4,1,14.89742,1095,183,2.29041096,2.04918033,0.68150375,2,-0.5164780789114648
-33.867477,151.206985,32,2499,953,565,2524,1.2,1926,2,0.95530632,0.5148771,0.55925403,0.56521405,0,0,1,0,0,1,0,0,0,2,2,430,0.75,4,1,14.89742,1095,183,2.29041096,2.04918033,0.68150375,2,0.7897534651634515
-33.86882,151.20928999999998,32,2499,953,565,2524,1.2,1926,2,0.95530632,0.5148771,0.55925403,0.56521405,0,1,0,0,0,0,0,1,0,2,2,430,0.75,4,1,14.89742,1095,183,2.29041096,2.04918033,0.68150375,2,-0.39660131228003115
-33.8671,151.207001,32,2499,953,565,2524,1.2,1926,2,0.95530632,0.5148771,0.55925403,0.56521405,0,0,0,0,0,0,0,0,0,0,0,430,0.75,4,1,14.89742,1095,183,2.29041096,2.04918033,0.68150375,2,1.2870569815113804
-33.893658,151.192032,32,2499,953,565,2524,1.2,1926,2,0.95530632,0.5148771,0.55925403,0.56521405,0,0,0,0,0,0,0,0,0,0,0,430,0.75,4,1,14.89742,1095,183,2.29041096,2.04918033,0.68150375,2,1.5165502920166958
-33.876488,151.202194,32,2499,953,565,2524,1.2,1926,2,0.95530632,0.5148771,0.55925403,0.56521405,0,0,0,0,0,0,0,0,0,1,1,430,0.75,4,1,14.89742,1095,183,2.29041096,2.04918033,0.68150375,2,0.5275859480557825
-33.856784999999995,151.21528600000002,32,2499,953,565,2524,1.2,1926,2,0.95530632,0.5148771,0.55925403,0.56521405,0,1,0,0,1,1,0,0,0,2,2,430,0.75,4,1,14.89742,1095,183,2.29041096,2.04918033,0.68150375,2,0.8255541339938359
-33.8671,151.207001,32,2499,953,565,2524,1.2,1926,2,0.95530632,0.5148771,0.55925403,0.56521405,0,0,0,0,0,0,0,0,0,0,0,430,0.75,4,1,14.89742,1095,183,2.29041096,2.04918033,0.68150375,2,-0.6664633966115584
-33.872528,151.20726000000002,32,2499,953,565,2524,1.2,1926,2,0.95530632,0.5148771,0.55925403,0.56521405,0,0,0,0,0,0,0,0,0,0,0,430,0.75,4,1,14.89742,1095,183,2.29041096,2.04918033,0.68150375,2,0.2319598705423612
-33.871536,151.212311,32,2499,953,565,2524,1.2,1926,2,0.95530632,0.5148771,0.55925403,0.56521405,0,1,0,0,1,0,1,0,0,1,1,430,0.75,4,2,9.0450872,1095,183,2.29041096,2.04918033,0.41378043,1,2.08853594368155
-33.8853,151.227005,32,2499,953,565,2524,1.2,1926,2,0.95530632,0.5148771,0.55925403,0.56521405,0,1,0,0,0,0,0,0,0,0,0,430,0.75,4,2,9.0450872,1095,183,2.29041096,2.04918033,0.41378043,1,-0.6021471837974671
-33.892712,151.201752,32,2499,953,565,2524,1.2,1926,2,0.95530632,0.5148771,0.55925403,0.56521405,0,0,0,0,0,0,0,1,0,1,1,430,0.75,4,2,9.0450872,1095,183,2.29041096,2.04918033,0.41378043,1,0.7145418589093951
-33.854271000000004,151.207993,32,2499,953,565,2524,1.2,1926,2,0.95530632,0.5148771,0.55925403,0.56521405,0,1,0,0,0,0,0,1,0,1,1,430,0.75,4,2,9.0450872,1095,183,2.29041096,2.04918033,0.41378043,1,0.5095755425501988
-33.872391,151.209625,32,2499,953,565,2524,1.2,1926,2,0.95530632,0.5148771,0.55925403,0.56521405,1,0,0,0,0,0,0,0,1,0,-1,430,0.75,4,2,9.0450872,1095,183,2.29041096,2.04918033,0.41378043,1,-0.7734101450718597
-33.882141,151.201675,32,2499,953,565,2524,1.2,1926,2,0.95530632,0.5148771,0.55925403,0.56521405,0,2,0,0,1,0,0,2,0,1,1,430,0.75,4,2,9.0450872,1095,183,2.29041096,2.04918033,0.41378043,1,-1.1476422792000116
-33.888222,151.193558,32,2499,953,565,2524,1.2,1926,2,0.95530632,0.5148771,0.55925403,0.56521405,1,0,0,0,0,0,0,0,0,0,0,430,0.75,4,2,9.0450872,1095,183,2.29041096,2.04918033,0.41378043,1,1.2062957860212646
