id,created_at,hour,minute,second,from_user_id,from_user_followercount,from_user_friendcount,lang,lat,lng,LGA_CODE,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size,Counted_Census_Night_home_P,Lang_spoken_home_Eng_only_P,Australian_citizen_P,Marital_Prop,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,score,Crime_Rate,Y,day,time,LGA,y1,total_positive,total_negative,timing_positive,timing_negative
9.51E+17,11/1/18,4,3,0,22114902,430,2336,en,-33.819595,151.030823,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,0,0,0,1,0,0,1,0,1,1,269.8,0.5,3,1,parramatta,3.891903126,72,23,2.25,1.869565217
9.51E+17,11/1/18,7,2,0,21996029,387,51,en,-33.806801,151.001205,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,1,2,1,2,1,1,0,1,2,2,0,269.8,0.5,3,2,parramatta,5.351206505,72,23,2.25,1.869565217
9.51E+17,11/1/18,7,12,0,516946549,233,818,en,-33.80896,151.005615,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,0,0,0,0,0,0,0,0,0,0,269.8,0.5,3,2,parramatta,5.351206505,72,23,2.25,1.869565217
9.51E+17,11/1/18,7,26,0,21996029,387,51,en,-33.806801,151.001205,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,0,0,0,0,0,0,0,0,0,0,269.8,0.5,3,2,parramatta,5.351206505,72,23,2.25,1.869565217
9.51E+17,11/1/18,7,45,0,71288921,140,681,en,-33.842697,151.068573,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,0,0,0,0,0,0,1,0,1,1,269.8,0.5,3,2,parramatta,5.351206505,72,23,2.25,1.869565217
9.51E+17,11/1/18,7,53,0,229033311,1324,1953,en,-33.844257,151.067719,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,0,0,0,0,0,0,1,0,1,1,269.8,0.5,3,2,parramatta,5.351206505,72,23,2.25,1.869565217
9.51E+17,11/1/18,7,58,0,955265252,234,873,en,-33.798252,151.002167,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,0,0,0,0,0,0,0,0,1,1,269.8,0.5,3,2,parramatta,5.351206505,72,23,2.25,1.869565217
9.51E+17,11/1/18,8,17,0,49474874,521,941,en,-33.842697,151.068573,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,0,0,0,0,0,0,1,0,1,1,269.8,0.5,3,2,parramatta,5.351206505,72,23,2.25,1.869565217
9.51E+17,11/1/18,8,18,0,25976677,343,419,en,-33.844257,151.067719,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,0,0,0,0,0,0,1,0,1,1,269.8,0.5,3,2,parramatta,5.351206505,72,23,2.25,1.869565217
9.51E+17,11/1/18,8,28,0,833064800,916,396,en,-33.855038,151.071686,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,0,0,0,0,0,0,0,0,0,0,269.8,0.5,3,2,parramatta,5.351206505,72,23,2.25,1.869565217
9.51E+17,11/1/18,8,31,0,31373670,77,221,en,-33.842697,151.068573,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,1,0,1,1,0,1,0,1,1,1,0,269.8,0.5,3,2,parramatta,5.351206505,72,23,2.25,1.869565217
9.51E+17,11/1/18,8,31,0,34095252,90,35,en,-33.853226,151.069427,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,0,0,0,0,0,0,1,0,1,1,269.8,0.5,3,2,parramatta,5.351206505,72,23,2.25,1.869565217
9.51E+17,11/1/18,8,39,0,41798545,73,40,en,-33.842697,151.068573,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,1,0,0,1,0,1,2,0,2,2,269.8,0.5,3,2,parramatta,5.351206505,72,23,2.25,1.869565217
9.51E+17,11/1/18,8,43,0,605357905,394,1559,en,-33.842697,151.068573,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,1,0,0,0,0,0,0,0,0,0,269.8,0.5,3,2,parramatta,5.351206505,72,23,2.25,1.869565217
9.51E+17,11/1/18,9,13,0,18707368,204,347,en,-33.842697,151.068573,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,0,0,0,0,0,0,1,0,1,1,269.8,0.5,3,2,parramatta,5.351206505,72,23,2.25,1.869565217
9.51E+17,11/1/18,9,26,0,756058122,87,210,en,-33.842697,151.068573,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,0,0,0,0,0,0,1,0,1,1,269.8,0.5,3,2,parramatta,5.351206505,72,23,2.25,1.869565217
9.51E+17,11/1/18,9,31,0,49474874,521,938,en,-33.842697,151.068573,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,0,0,0,0,0,0,1,0,1,1,269.8,0.5,3,2,parramatta,5.351206505,72,23,2.25,1.869565217
9.51E+17,11/1/18,10,27,0,61462546,955,1317,en,-33.854977,151.072845,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,0,0,0,0,0,0,1,0,0,0,269.8,0.5,3,2,parramatta,5.351206505,72,23,2.25,1.869565217
9.51E+17,11/1/18,11,17,0,51243167,2210,525,en,-33.842697,151.068573,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,0,0,0,0,0,0,0,0,0,0,269.8,0.5,3,2,parramatta,5.351206505,72,23,2.25,1.869565217
9.51E+17,11/1/18,13,20,0,363020711,309,294,en,-33.844685,151.067749,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,1,0,0,1,0,0,1,0,1,1,269.8,0.5,3,3,parramatta,11.67538879,72,23,2.25,1.869565217
9.52E+17,11/1/18,21,1,0,20103292,1543,1816,en,-33.810352,151.004135,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,2,0,0,2,0,1,2,0,3,3,269.8,0.5,3,4,parramatta,12.64836457,72,23,2.25,1.869565217
9.52E+17,11/1/18,21,35,0,24157185,180,366,en,-33.814331,151.005173,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,1,0,0,1,0,0,1,0,1,1,269.8,0.5,3,4,parramatta,12.64836457,72,23,2.25,1.869565217
9.52E+17,11/1/18,22,30,0,35624175,441,302,en,-33.814999,151.001114,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,0,0,0,0,0,0,1,0,2,2,269.8,0.5,3,4,parramatta,12.64836457,72,23,2.25,1.869565217
9.52E+17,11/1/18,23,31,0,39970139,102,183,en,-33.817871,151.002747,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,1,0,0,0,0,0,0,0,0,0,269.8,0.5,3,4,parramatta,12.64836457,72,23,2.25,1.869565217
9.52E+17,12/1/18,0,0,0,23342223,165,412,en,-33.855042,151.070908,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,1,0,0,1,0,0,0,0,1,1,269.8,0.5,4,1,parramatta,6.810509885,72,23,2.25,1.869565217
9.52E+17,12/1/18,0,11,0,9.15E+17,9,13,en,-33.807976,150.999817,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,0,0,0,1,0,0,0,0,1,1,269.8,0.5,4,1,parramatta,6.810509885,72,23,2.25,1.869565217
9.52E+17,12/1/18,0,50,0,23342223,165,412,en,-33.855042,151.070908,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,1,0,0,1,1,1,1,0,1,1,269.8,0.5,4,1,parramatta,6.810509885,72,23,2.25,1.869565217
9.52E+17,12/1/18,2,13,0,9.43E+17,8,9,en,-33.817871,151.002747,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,0,0,0,0,0,0,0,0,0,0,269.8,0.5,4,1,parramatta,6.810509885,72,23,2.25,1.869565217
9.52E+17,12/1/18,2,19,0,31331099,253,349,en,-33.786533,151.008484,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,0,0,0,0,0,0,0,0,0,0,269.8,0.5,4,1,parramatta,6.810509885,72,23,2.25,1.869565217
9.52E+17,12/1/18,2,57,0,9.26E+17,13,94,en,-33.854977,151.072845,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,1,2,0,1,2,0,2,2,1,2,1,269.8,0.5,4,1,parramatta,6.810509885,72,23,2.25,1.869565217
9.52E+17,12/1/18,3,18,0,449408999,151,294,en,-33.855042,151.070908,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,0,0,0,0,0,0,0,0,0,0,269.8,0.5,4,1,parramatta,6.810509885,72,23,2.25,1.869565217
9.52E+17,12/1/18,3,24,0,23342223,165,412,en,-33.855042,151.070908,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,1,0,1,2,0,2,1,0,2,2,269.8,0.5,4,1,parramatta,6.810509885,72,23,2.25,1.869565217
9.52E+17,12/1/18,3,45,0,22114902,430,2337,en,-33.819595,151.030823,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,0,0,0,0,0,0,0,0,0,0,269.8,0.5,4,1,parramatta,6.810509885,72,23,2.25,1.869565217
9.52E+17,12/1/18,5,16,0,9.43E+17,8,9,en,-33.817871,151.002747,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,1,0,0,2,0,1,2,0,3,3,269.8,0.5,4,1,parramatta,6.810509885,72,23,2.25,1.869565217
9.52E+17,12/1/18,5,37,0,9.26E+17,13,94,en,-33.854977,151.072845,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,1,1,1,1,1,1,1,2,1,1,0,269.8,0.5,4,1,parramatta,6.810509885,72,23,2.25,1.869565217
9.52E+17,12/1/18,5,47,0,294595721,565,235,en,-33.855042,151.070908,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,1,0,1,1,0,1,1,0,3,3,269.8,0.5,4,1,parramatta,6.810509885,72,23,2.25,1.869565217
9.52E+17,12/1/18,5,47,0,26802729,7464,105,en,-33.853226,151.069427,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,2,0,0,3,0,1,1,0,3,3,269.8,0.5,4,1,parramatta,6.810509885,72,23,2.25,1.869565217
9.52E+17,12/1/18,5,52,0,449408999,151,294,en,-33.855042,151.070908,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,1,0,0,0,0,0,0,0,0,0,0,269.8,0.5,4,1,parramatta,6.810509885,72,23,2.25,1.869565217
9.52E+17,12/1/18,6,50,0,9.26E+17,13,94,en,-33.854977,151.072845,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,0,0,0,0,0,0,0,0,0,0,269.8,0.5,4,2,parramatta,6.324182287,72,23,2.25,1.869565217
9.52E+17,12/1/18,8,8,0,82839362,146,577,en,-33.772942,151.080872,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,1,0,0,0,0,0,0,0,0,0,269.8,0.5,4,2,parramatta,6.324182287,72,23,2.25,1.869565217
9.52E+17,12/1/18,8,14,0,14856756,959,1509,en,-33.855042,151.070908,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,0,0,0,0,0,0,0,0,0,0,269.8,0.5,4,2,parramatta,6.324182287,72,23,2.25,1.869565217
9.52E+17,12/1/18,9,9,0,26474373,1825,1487,en,-33.847591,151.067322,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,0,0,0,0,0,0,0,0,0,0,269.8,0.5,4,2,parramatta,6.324182287,72,23,2.25,1.869565217
9.52E+17,12/1/18,9,25,0,82839362,146,577,en,-33.772942,151.080872,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,1,0,0,0,0,0,1,0,0,0,269.8,0.5,4,2,parramatta,6.324182287,72,23,2.25,1.869565217
9.52E+17,12/1/18,9,47,0,82839362,147,577,en,-33.772942,151.080872,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,0,0,0,0,0,0,0,0,0,0,269.8,0.5,4,2,parramatta,6.324182287,72,23,2.25,1.869565217
9.52E+17,12/1/18,10,34,0,2777692098,207,378,en,-33.854977,151.072845,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,1,0,0,1,0,0,1,0,1,1,269.8,0.5,4,2,parramatta,6.324182287,72,23,2.25,1.869565217
9.52E+17,12/1/18,11,1,0,31373670,77,221,en,-33.791286,151.062286,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,1,0,0,0,0,0,0,0,1,0,-1,269.8,0.5,4,2,parramatta,6.324182287,72,23,2.25,1.869565217
9.52E+17,12/1/18,11,29,0,2479572925,77,67,en,-33.806801,151.001205,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,1,0,0,2,0,1,1,0,3,3,269.8,0.5,4,2,parramatta,6.324182287,72,23,2.25,1.869565217
9.52E+17,12/1/18,11,34,0,2479572925,77,67,en,-33.806801,151.001205,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,0,0,0,0,0,0,1,0,0,0,269.8,0.5,4,2,parramatta,6.324182287,72,23,2.25,1.869565217
9.52E+17,12/1/18,13,9,0,3236071340,122,279,en,-33.807968,151.006866,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,1,0,0,0,0,0,0,1,0,-1,269.8,0.5,4,3,parramatta,9.243109631,72,23,2.25,1.869565217
9.52E+17,12/1/18,19,52,0,7.05E+17,2263,719,en,-33.811405,151.005768,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,0,0,0,0,0,0,0,0,0,0,269.8,0.5,4,4,parramatta,16.05361952,72,23,2.25,1.869565217
9.52E+17,12/1/18,22,41,0,35167822,286,91,en,-33.811729,151.003036,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,1,0,1,2,1,0,1,1,2,1,269.8,0.5,4,4,parramatta,16.05361952,72,23,2.25,1.869565217
9.52E+17,12/1/18,23,14,0,9.26E+17,13,95,en,-33.854977,151.072845,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,1,3,0,1,2,0,1,1,0,2,2,269.8,0.5,4,4,parramatta,16.05361952,72,23,2.25,1.869565217
9.52E+17,12/1/18,23,25,0,423482528,286,102,en,-33.817539,151.002899,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,0,0,0,0,0,0,0,0,0,0,269.8,0.5,4,4,parramatta,16.05361952,72,23,2.25,1.869565217
9.52E+17,12/1/18,23,32,0,31373670,77,221,en,-33.806412,151.040894,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,1,1,1,0,1,0,1,1,0,2,2,269.8,0.5,4,4,parramatta,16.05361952,72,23,2.25,1.869565217
9.52E+17,13/1/18,0,16,0,9.28E+17,4,171,en,-33.833302,151.016998,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,1,1,0,0,0,1,0,0,1,0,-1,269.8,0.5,5,1,parramatta,7.783485667,72,23,2.25,1.869565217
9.52E+17,13/1/18,0,30,0,25266374,220,842,en,-33.853226,151.069427,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,2,0,0,2,0,1,1,0,2,2,269.8,0.5,5,1,parramatta,7.783485667,72,23,2.25,1.869565217
9.52E+17,13/1/18,0,35,0,25266374,220,842,en,-33.853226,151.069427,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,1,2,0,1,2,0,1,1,1,2,1,269.8,0.5,5,1,parramatta,7.783485667,72,23,2.25,1.869565217
9.52E+17,13/1/18,0,43,0,44809985,1331,1044,en,-33.7644,151.022003,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,1,1,0,1,1,0,1,3,0,2,2,269.8,0.5,5,1,parramatta,7.783485667,72,23,2.25,1.869565217
9.52E+17,13/1/18,1,8,0,22471047,1790,1945,en,-33.813953,150.99913,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,1,0,0,1,0,1,0,0,1,0,-1,269.8,0.5,5,1,parramatta,7.783485667,72,23,2.25,1.869565217
9.52E+17,13/1/18,2,32,0,22471047,1791,1945,en,-33.806698,151.001404,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,1,0,0,1,0,1,0,0,1,0,-1,269.8,0.5,5,1,parramatta,7.783485667,72,23,2.25,1.869565217
9.52E+17,13/1/18,2,43,0,22471047,1791,1945,en,-33.806625,151.00145,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,1,0,0,1,0,1,0,0,2,0,-2,269.8,0.5,5,1,parramatta,7.783485667,72,23,2.25,1.869565217
9.52E+17,13/1/18,4,15,0,38978842,102,121,en,-33.853226,151.069427,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,0,0,0,0,0,0,0,0,0,0,269.8,0.5,5,1,parramatta,7.783485667,72,23,2.25,1.869565217
9.52E+17,13/1/18,4,39,0,298098067,480,311,en,-33.799999,151.050003,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,0,0,0,0,0,0,0,0,0,0,269.8,0.5,5,1,parramatta,7.783485667,72,23,2.25,1.869565217
9.52E+17,13/1/18,4,49,0,22471047,1791,1945,en,-33.808994,151.007141,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,1,0,0,1,0,1,0,0,1,0,-1,269.8,0.5,5,1,parramatta,7.783485667,72,23,2.25,1.869565217
9.52E+17,13/1/18,5,13,0,465212620,196,306,en,-33.811111,151.000809,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,0,0,1,0,1,0,0,1,0,-1,269.8,0.5,5,1,parramatta,7.783485667,72,23,2.25,1.869565217
9.52E+17,13/1/18,5,49,0,39970139,102,183,en,-33.844398,151.06218,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,0,0,0,0,0,0,0,0,0,0,269.8,0.5,5,1,parramatta,7.783485667,72,23,2.25,1.869565217
9.52E+17,13/1/18,6,18,0,605357905,393,1559,en,-33.844398,151.06218,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,1,0,0,1,0,0,0,0,2,2,269.8,0.5,5,2,parramatta,14.10766795,72,23,2.25,1.869565217
9.52E+17,13/1/18,6,35,0,124900399,192,274,en,-33.772846,150.981583,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,0,0,0,0,0,0,0,0,1,1,269.8,0.5,5,2,parramatta,14.10766795,72,23,2.25,1.869565217
9.52E+17,13/1/18,6,49,0,22471047,1791,1945,en,-33.811775,151.004105,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,1,0,0,1,0,1,0,0,1,0,-1,269.8,0.5,5,2,parramatta,14.10766795,72,23,2.25,1.869565217
9.52E+17,13/1/18,7,45,0,236865718,170,370,en,-33.811111,151.000809,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,0,0,0,0,0,0,0,0,0,0,269.8,0.5,5,2,parramatta,14.10766795,72,23,2.25,1.869565217
9.52E+17,13/1/18,7,49,0,42408661,782,1414,en,-33.854977,151.072845,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,1,0,0,1,0,1,1,0,1,1,269.8,0.5,5,2,parramatta,14.10766795,72,23,2.25,1.869565217
9.52E+17,13/1/18,7,51,0,22471047,1791,1945,en,-33.831905,151.011337,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,1,0,0,1,0,1,0,0,1,0,-1,269.8,0.5,5,2,parramatta,14.10766795,72,23,2.25,1.869565217
9.52E+17,13/1/18,8,26,0,51243167,2210,526,en,-33.842697,151.068573,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,0,0,0,0,0,0,0,0,1,0,-1,269.8,0.5,5,2,parramatta,14.10766795,72,23,2.25,1.869565217
9.52E+17,13/1/18,8,47,0,61936218,209,483,en,-33.853226,151.069427,16260,34,2167,722,440,1933,1,1759,2.8,0.972646353,0.417123224,0.703231056,0.403537181,1,0,1,0,0,0,0,0,1,1,0,269.8,0.5,5,2,parramatta,14.10766795,72,23,2.25,1.869565217
